Rent,Size,BHK,Bathroom,Furnishing Status,City
110000,1500,3,4,Unfurnished,Mumbai
84500,1150,3,3,Unfurnished,Mumbai
80000,1100,3,3,Semi-Furnished,Mumbai
50000,1000,3,3,Furnished,Mumbai
40000,720,2,2,Unfurnished,Mumbai
34000,365,1,1,Furnished,Mumbai
220000,2000,4,4,Furnished,Mumbai
25000,400,1,1,Unfurnished,Mumbai
150000,1330,3,4,Semi-Furnished,Mumbai
85000,850,3,3,Semi-Furnished,Mumbai
180000,2000,4,5,Furnished,Mumbai
40000,700,2,2,Semi-Furnished,Mumbai
50000,900,2,2,Semi-Furnished,Mumbai
38000,650,2,2,Furnished,Mumbai
310000,2600,4,4,Unfurnished,Mumbai
50000,680,2,2,Unfurnished,Mumbai
65000,950,3,3,Semi-Furnished,Mumbai
210000,1783,4,3,Semi-Furnished,Mumbai
150000,1330,3,3,Unfurnished,Mumbai
32000,565,1,2,Unfurnished,Mumbai
26000,450,1,1,Unfurnished,Mumbai
60000,710,2,2,Semi-Furnished,Mumbai
190000,1514,3,4,Semi-Furnished,Mumbai
100000,1080,3,3,Unfurnished,Mumbai
35000,700,2,2,Unfurnished,Mumbai
68000,890,3,2,Unfurnished,Mumbai
150000,1250,3,3,Semi-Furnished,Mumbai
18000,300,1,1,Semi-Furnished,Mumbai
55000,720,2,2,Unfurnished,Mumbai
65000,825,3,3,Furnished,Mumbai
80000,500,2,2,Furnished,Mumbai
53000,750,2,2,Semi-Furnished,Mumbai
80000,750,2,2,Semi-Furnished,Mumbai
18000,360,1,1,Furnished,Mumbai
250000,1545,4,5,Semi-Furnished,Mumbai
17500,400,1,1,Unfurnished,Mumbai
43000,750,3,2,Unfurnished,Mumbai
13500,432,1,2,Unfurnished,Mumbai
18000,780,2,2,Unfurnished,Mumbai
75000,695,2,1,Semi-Furnished,Mumbai
18000,375,1,1,Unfurnished,Mumbai
160000,1095,3,3,Semi-Furnished,Mumbai
32000,475,1,2,Semi-Furnished,Mumbai
55000,790,2,2,Unfurnished,Mumbai
47000,661,2,2,Semi-Furnished,Mumbai
35000,700,2,2,Semi-Furnished,Mumbai
15000,420,1,1,Semi-Furnished,Mumbai
50000,750,2,2,Unfurnished,Mumbai
25500,950,2,3,Semi-Furnished,Mumbai
350000,1880,5,5,Furnished,Mumbai
55000,1350,3,3,Furnished,Mumbai
25000,330,1,1,Semi-Furnished,Mumbai
50000,750,2,2,Unfurnished,Mumbai
65000,925,2,3,Furnished,Mumbai
50000,1150,3,3,Semi-Furnished,Mumbai
65000,1105,3,3,Unfurnished,Mumbai
160000,1050,3,3,Furnished,Mumbai
25000,410,1,1,Semi-Furnished,Mumbai
32000,460,1,2,Unfurnished,Mumbai
21000,600,1,1,Semi-Furnished,Mumbai
20000,570,1,2,Furnished,Mumbai
55000,720,2,2,Furnished,Mumbai
32000,500,1,2,Semi-Furnished,Mumbai
150000,1460,4,4,Semi-Furnished,Mumbai
30000,415,1,2,Unfurnished,Mumbai
150000,1400,3,3,Semi-Furnished,Mumbai
27000,270,1,1,Unfurnished,Mumbai
47000,585,2,2,Semi-Furnished,Mumbai
150000,1755,4,4,Unfurnished,Mumbai
27000,550,1,2,Furnished,Mumbai
160000,1300,3,4,Semi-Furnished,Mumbai
100000,1200,2,2,Furnished,Mumbai
45002,600,2,2,Semi-Furnished,Mumbai
48000,700,2,2,Semi-Furnished,Mumbai
18000,385,1,1,Unfurnished,Mumbai
7500,500,1,1,Semi-Furnished,Mumbai
50000,850,2,2,Semi-Furnished,Mumbai
55000,900,3,2,Semi-Furnished,Mumbai
26000,400,1,1,Unfurnished,Mumbai
17000,600,2,2,Unfurnished,Mumbai
40000,750,2,2,Semi-Furnished,Mumbai
43000,628,2,2,Unfurnished,Mumbai
140000,1330,3,4,Unfurnished,Mumbai
140000,1064,3,3,Unfurnished,Mumbai
120000,1200,3,3,Furnished,Mumbai
400000,2200,4,4,Furnished,Mumbai
21000,630,2,2,Semi-Furnished,Mumbai
40000,650,2,2,Unfurnished,Mumbai
40000,845,2,2,Furnished,Mumbai
230000,1915,3,3,Semi-Furnished,Mumbai
20000,900,2,2,Semi-Furnished,Mumbai
60000,807,2,2,Unfurnished,Mumbai
35000,1100,2,2,Semi-Furnished,Mumbai
300000,1600,3,5,Semi-Furnished,Mumbai
6500,790,2,2,Unfurnished,Mumbai
15000,380,1,1,Unfurnished,Mumbai
38000,650,2,2,Unfurnished,Mumbai
35000,800,2,2,Semi-Furnished,Mumbai
32000,830,2,2,Semi-Furnished,Mumbai
16000,410,1,1,Unfurnished,Mumbai
33000,428,1,2,Semi-Furnished,Mumbai
8500,550,1,1,Semi-Furnished,Mumbai
60000,630,2,2,Unfurnished,Mumbai
20000,550,1,2,Unfurnished,Mumbai
38000,450,1,2,Unfurnished,Mumbai
100000,750,2,2,Unfurnished,Mumbai
65000,800,2,2,Semi-Furnished,Mumbai
80000,1050,3,3,Furnished,Mumbai
85000,850,2,2,Furnished,Mumbai
600000,2500,4,4,Semi-Furnished,Mumbai
150000,2000,3,3,Furnished,Mumbai
130000,1330,3,4,Semi-Furnished,Mumbai
55000,950,3,3,Unfurnished,Mumbai
23000,435,1,2,Semi-Furnished,Mumbai
95000,1300,3,4,Semi-Furnished,Mumbai
40000,650,2,2,Unfurnished,Mumbai
180000,1550,3,3,Semi-Furnished,Mumbai
25000,380,1,1,Semi-Furnished,Mumbai
140000,1454,4,4,Unfurnished,Mumbai
55000,860,2,2,Semi-Furnished,Mumbai
46000,680,2,2,Semi-Furnished,Mumbai
22000,433,1,2,Unfurnished,Mumbai
55100,710,2,2,Semi-Furnished,Mumbai
65000,700,2,2,Furnished,Mumbai
33000,550,1,1,Unfurnished,Mumbai
320000,2700,4,5,Semi-Furnished,Mumbai
33000,350,1,1,Unfurnished,Mumbai
25000,490,1,1,Semi-Furnished,Mumbai
300000,1225,3,3,Furnished,Mumbai
100000,1286,3,5,Unfurnished,Mumbai
33000,425,1,2,Unfurnished,Mumbai
35000,550,2,2,Semi-Furnished,Mumbai
130000,1224,3,3,Unfurnished,Mumbai
80000,950,3,3,Unfurnished,Mumbai
10000,425,1,2,Semi-Furnished,Mumbai
92500,1000,3,3,Furnished,Mumbai
57000,710,2,2,Semi-Furnished,Mumbai
170000,1300,3,3,Semi-Furnished,Mumbai
29999,433,1,2,Semi-Furnished,Mumbai
42000,650,2,2,Furnished,Mumbai
330000,1650,3,4,Furnished,Mumbai
24000,600,2,1,Semi-Furnished,Mumbai
35000,850,2,2,Semi-Furnished,Mumbai
14000,305,1,1,Unfurnished,Mumbai
45000,490,2,2,Furnished,Mumbai
36000,690,2,2,Semi-Furnished,Mumbai
53500,635,2,2,Unfurnished,Mumbai
80000,1100,3,2,Furnished,Mumbai
7500,250,1,1,Unfurnished,Mumbai
140000,1200,3,3,Furnished,Mumbai
95000,750,2,2,Unfurnished,Mumbai
130000,1100,3,3,Furnished,Mumbai
45000,700,2,2,Semi-Furnished,Mumbai
110000,1150,2,2,Unfurnished,Mumbai
120000,1379,3,3,Unfurnished,Mumbai
60000,500,1,1,Furnished,Mumbai
120000,1400,3,3,Unfurnished,Mumbai
40000,390,1,1,Unfurnished,Mumbai
50000,935,2,2,Furnished,Mumbai
36000,535,2,2,Unfurnished,Mumbai
150000,1250,3,3,Semi-Furnished,Mumbai
230000,3700,4,4,Furnished,Mumbai
25000,350,1,2,Unfurnished,Mumbai
190000,1350,3,4,Semi-Furnished,Mumbai
61000,1550,3,3,Semi-Furnished,Mumbai
70000,1100,3,3,Furnished,Mumbai
42000,950,3,3,Unfurnished,Mumbai
27000,400,1,1,Unfurnished,Mumbai
60000,700,2,2,Furnished,Mumbai
85000,850,3,2,Furnished,Mumbai
75000,900,2,2,Furnished,Mumbai
200000,1208,3,3,Unfurnished,Mumbai
170000,1150,3,3,Semi-Furnished,Mumbai
180000,1600,3,4,Semi-Furnished,Mumbai
55000,700,2,2,Furnished,Mumbai
600000,3200,5,5,Semi-Furnished,Mumbai
18000,330,1,1,Unfurnished,Mumbai
19000,225,1,1,Unfurnished,Mumbai
150000,1050,3,3,Furnished,Mumbai
18500,225,1,1,Semi-Furnished,Mumbai
35000,463,1,2,Furnished,Mumbai
200000,1900,4,3,Furnished,Mumbai
150000,1500,2,4,Furnished,Mumbai
70000,1000,2,2,Semi-Furnished,Mumbai
35000,450,1,2,Semi-Furnished,Mumbai
45000,700,2,2,Unfurnished,Mumbai
30000,355,1,1,Unfurnished,Mumbai
50000,1325,3,3,Furnished,Mumbai
50000,950,2,2,Furnished,Mumbai
42000,600,1,1,Semi-Furnished,Mumbai
19500,905,2,2,Semi-Furnished,Mumbai
90000,1500,3,3,Furnished,Mumbai
60000,455,1,1,Unfurnished,Mumbai
55000,850,2,2,Semi-Furnished,Mumbai
40000,1100,3,2,Unfurnished,Mumbai
40000,430,1,2,Unfurnished,Mumbai
36000,650,2,2,Semi-Furnished,Mumbai
45000,795,2,2,Unfurnished,Mumbai
100000,800,2,2,Furnished,Mumbai
42000,700,1,1,Furnished,Mumbai
45000,450,1,2,Furnished,Mumbai
40000,575,2,2,Semi-Furnished,Mumbai
50000,650,2,3,Furnished,Mumbai
11000,200,1,1,Furnished,Mumbai
50000,1200,2,2,Semi-Furnished,Mumbai
34000,656,1,2,Unfurnished,Mumbai
93000,1600,3,3,Semi-Furnished,Mumbai
69999,950,3,3,Unfurnished,Mumbai
48000,719,2,2,Semi-Furnished,Mumbai
55000,1100,3,3,Unfurnished,Mumbai
1000000,3064,4,4,Semi-Furnished,Mumbai
40000,650,2,2,Semi-Furnished,Mumbai
130000,1450,3,5,Semi-Furnished,Mumbai
75000,720,2,2,Semi-Furnished,Mumbai
23000,670,2,2,Semi-Furnished,Mumbai
200000,1350,3,3,Furnished,Mumbai
55000,925,3,2,Unfurnished,Mumbai
80000,1450,4,4,Unfurnished,Mumbai
220000,1550,3,3,Furnished,Mumbai
40000,420,1,2,Semi-Furnished,Mumbai
35000,650,2,2,Unfurnished,Mumbai
33003,700,2,2,Furnished,Mumbai
450000,3400,5,5,Semi-Furnished,Mumbai
65000,935,2,2,Semi-Furnished,Mumbai
45000,980,2,2,Semi-Furnished,Mumbai
280000,2800,4,4,Furnished,Mumbai
55000,700,2,3,Furnished,Mumbai
56000,720,2,2,Semi-Furnished,Mumbai
55000,750,2,2,Semi-Furnished,Mumbai
28000,700,2,2,Furnished,Mumbai
150000,1000,2,3,Semi-Furnished,Mumbai
300000,3000,5,5,Furnished,Mumbai
50000,413,1,1,Furnished,Mumbai
180000,1755,4,4,Semi-Furnished,Mumbai
190000,1850,3,4,Semi-Furnished,Mumbai
8000,890,2,2,Unfurnished,Mumbai
75000,1200,3,3,Semi-Furnished,Mumbai
83000,1100,3,3,Furnished,Mumbai
32000,420,1,2,Semi-Furnished,Mumbai
39000,630,2,2,Unfurnished,Mumbai
150000,1705,4,3,Semi-Furnished,Mumbai
190000,1300,3,3,Furnished,Mumbai
160000,1355,3,3,Furnished,Mumbai
25000,450,1,2,Semi-Furnished,Mumbai
90000,1350,3,3,Unfurnished,Mumbai
95000,825,2,2,Furnished,Mumbai
30000,550,1,1,Semi-Furnished,Mumbai
18500,430,1,1,Unfurnished,Mumbai
18000,320,1,1,Furnished,Mumbai
75000,1100,3,3,Semi-Furnished,Mumbai
150000,1460,4,4,Semi-Furnished,Mumbai
100000,1250,3,3,Furnished,Mumbai
170000,1000,2,3,Furnished,Mumbai
45000,710,2,2,Unfurnished,Mumbai
200000,1350,3,3,Furnished,Mumbai
20000,400,2,1,Furnished,Mumbai
85000,1000,3,4,Semi-Furnished,Mumbai
130000,1500,3,3,Unfurnished,Mumbai
40000,500,1,1,Semi-Furnished,Mumbai
250000,2000,4,4,Furnished,Mumbai
15000,225,1,1,Unfurnished,Mumbai
40000,650,2,2,Furnished,Mumbai
48000,670,2,2,Semi-Furnished,Mumbai
15000,610,2,1,Semi-Furnished,Mumbai
28000,400,1,2,Furnished,Mumbai
25000,340,1,1,Unfurnished,Mumbai
34000,471,2,2,Semi-Furnished,Mumbai
75000,550,1,2,Furnished,Mumbai
45000,630,2,1,Semi-Furnished,Mumbai
35000,500,1,2,Semi-Furnished,Mumbai
32000,400,1,1,Furnished,Mumbai
17000,1000,2,2,Unfurnished,Mumbai
230000,1528,4,4,Unfurnished,Mumbai
35000,650,2,2,Semi-Furnished,Mumbai
8500,500,1,1,Unfurnished,Mumbai
80000,850,3,2,Semi-Furnished,Mumbai
55000,550,1,1,Semi-Furnished,Mumbai
25000,430,1,2,Unfurnished,Mumbai
40000,1030,3,3,Furnished,Mumbai
15500,250,1,1,Unfurnished,Mumbai
45000,500,1,2,Unfurnished,Mumbai
180000,1750,4,4,Semi-Furnished,Mumbai
51000,985,2,2,Unfurnished,Mumbai
60000,1050,3,3,Unfurnished,Mumbai
36000,700,2,2,Unfurnished,Mumbai
180000,1200,3,3,Semi-Furnished,Mumbai
75000,1000,3,3,Furnished,Mumbai
8000,550,2,2,Unfurnished,Mumbai
50000,806,3,2,Semi-Furnished,Mumbai
100000,1400,3,3,Furnished,Mumbai
16500,470,1,2,Semi-Furnished,Mumbai
4500,475,1,1,Unfurnished,Mumbai
34000,583,2,2,Unfurnished,Mumbai
32000,475,2,2,Unfurnished,Mumbai
50000,900,2,2,Furnished,Mumbai
24000,500,1,1,Semi-Furnished,Mumbai
62000,806,2,3,Unfurnished,Mumbai
100000,400,1,1,Furnished,Mumbai
21000,650,1,2,Semi-Furnished,Mumbai
27000,550,1,2,Semi-Furnished,Mumbai
10000,390,1,1,Unfurnished,Mumbai
90000,994,2,2,Semi-Furnished,Mumbai
8000,520,1,2,Semi-Furnished,Mumbai
75000,575,1,1,Semi-Furnished,Mumbai
230000,2750,3,3,Unfurnished,Mumbai
15000,470,1,2,Semi-Furnished,Mumbai
260000,2500,4,4,Semi-Furnished,Mumbai
62000,1100,3,3,Semi-Furnished,Mumbai
43500,480,1,2,Furnished,Mumbai
62000,750,2,2,Unfurnished,Mumbai
400000,2424,4,5,Semi-Furnished,Mumbai
77500,724,2,2,Semi-Furnished,Mumbai
30000,600,1,1,Furnished,Mumbai
110000,1076,3,2,Semi-Furnished,Mumbai
20000,800,1,2,Unfurnished,Mumbai
150000,1300,3,3,Semi-Furnished,Mumbai
55000,500,1,2,Unfurnished,Mumbai
70000,700,2,2,Semi-Furnished,Mumbai
65000,700,2,2,Furnished,Mumbai
310000,2170,3,4,Semi-Furnished,Mumbai
18000,225,1,2,Unfurnished,Mumbai
48000,485,1,2,Furnished,Mumbai
10000,225,1,1,Unfurnished,Mumbai
32000,478,1,2,Semi-Furnished,Mumbai
32000,1200,3,3,Semi-Furnished,Mumbai
36000,620,2,2,Semi-Furnished,Mumbai
22000,280,1,1,Unfurnished,Mumbai
5500,385,1,1,Unfurnished,Mumbai
15000,704,3,2,Unfurnished,Mumbai
40000,710,2,2,Unfurnished,Mumbai
28000,525,1,1,Unfurnished,Mumbai
11000,390,1,1,Semi-Furnished,Mumbai
40000,755,2,2,Semi-Furnished,Mumbai
45000,700,2,2,Unfurnished,Mumbai
180000,1000,2,3,Semi-Furnished,Mumbai
160000,2000,3,3,Furnished,Mumbai
36000,650,2,2,Unfurnished,Mumbai
59000,470,1,1,Semi-Furnished,Mumbai
40000,450,1,2,Semi-Furnished,Mumbai
40000,625,2,2,Semi-Furnished,Mumbai
72000,700,2,2,Furnished,Mumbai
40000,600,2,2,Unfurnished,Mumbai
16000,600,2,1,Unfurnished,Mumbai
50000,1100,2,4,Furnished,Mumbai
24000,370,1,1,Semi-Furnished,Mumbai
65000,950,2,2,Semi-Furnished,Mumbai
33000,825,2,2,Unfurnished,Mumbai
27000,650,2,2,Unfurnished,Mumbai
52000,750,2,2,Semi-Furnished,Mumbai
95000,900,3,3,Semi-Furnished,Mumbai
68000,805,2,3,Semi-Furnished,Mumbai
48000,742,2,2,Unfurnished,Mumbai
32000,550,2,2,Semi-Furnished,Mumbai
42000,745,2,2,Semi-Furnished,Mumbai
60000,800,2,2,Furnished,Mumbai
51500,1265,3,3,Unfurnished,Mumbai
130000,1800,3,3,Unfurnished,Mumbai
25000,325,1,1,Furnished,Mumbai
85000,902,2,2,Semi-Furnished,Mumbai
98000,1233,3,4,Semi-Furnished,Mumbai
100000,750,2,2,Furnished,Mumbai
65000,600,2,2,Unfurnished,Mumbai
23000,500,1,1,Unfurnished,Mumbai
40000,600,2,2,Unfurnished,Mumbai
45000,950,3,3,Unfurnished,Mumbai
40000,680,1,4,Furnished,Mumbai
23500,400,1,1,Unfurnished,Mumbai
250000,2120,4,5,Furnished,Mumbai
110000,1350,3,4,Semi-Furnished,Mumbai
150000,1600,3,3,Semi-Furnished,Mumbai
22000,430,1,1,Unfurnished,Mumbai
150000,1937,4,5,Semi-Furnished,Mumbai
75000,700,2,3,Semi-Furnished,Mumbai
41000,780,2,2,Unfurnished,Mumbai
150000,1300,4,4,Semi-Furnished,Mumbai
150000,1350,3,3,Semi-Furnished,Mumbai
53000,750,2,2,Furnished,Mumbai
140000,1400,4,3,Semi-Furnished,Mumbai
200000,2000,4,5,Furnished,Mumbai
65000,850,2,2,Furnished,Mumbai
48000,500,1,1,Furnished,Mumbai
75000,900,2,2,Unfurnished,Mumbai
39000,750,2,2,Semi-Furnished,Mumbai
70000,1100,3,2,Semi-Furnished,Mumbai
1200000,5000,4,4,Semi-Furnished,Mumbai
25000,596,1,1,Semi-Furnished,Mumbai
45000,680,2,2,Unfurnished,Mumbai
190000,1950,4,4,Unfurnished,Mumbai
140000,1350,3,3,Semi-Furnished,Mumbai
35000,510,1,1,Semi-Furnished,Mumbai
60000,500,1,1,Furnished,Mumbai
15000,375,1,1,Unfurnished,Mumbai
39000,500,1,1,Furnished,Mumbai
190000,1500,3,3,Semi-Furnished,Mumbai
84000,1000,3,3,Furnished,Mumbai
68000,1260,3,3,Unfurnished,Mumbai
26000,475,1,2,Unfurnished,Mumbai
42000,620,2,2,Semi-Furnished,Mumbai
35000,490,1,1,Furnished,Mumbai
44000,710,2,2,Semi-Furnished,Mumbai
60000,720,2,2,Unfurnished,Mumbai
45000,770,2,2,Semi-Furnished,Mumbai
250000,1600,3,3,Semi-Furnished,Mumbai
65000,500,1,1,Furnished,Mumbai
20000,350,1,1,Unfurnished,Mumbai
75000,1000,2,2,Semi-Furnished,Mumbai
500000,3900,5,5,Furnished,Mumbai
140000,1000,3,3,Semi-Furnished,Mumbai
45000,660,2,2,Semi-Furnished,Mumbai
9400,600,1,1,Semi-Furnished,Mumbai
100000,900,2,2,Furnished,Mumbai
65000,750,2,2,Furnished,Mumbai
230000,1000,2,2,Furnished,Mumbai
180000,1500,3,3,Semi-Furnished,Mumbai
180000,1200,2,3,Furnished,Mumbai
120000,1200,3,3,Furnished,Mumbai
20000,280,1,1,Semi-Furnished,Mumbai
130000,1000,2,2,Furnished,Mumbai
400000,1800,3,4,Semi-Furnished,Mumbai
75000,694,2,2,Semi-Furnished,Mumbai
350000,3250,5,5,Unfurnished,Mumbai
100000,1740,3,4,Furnished,Mumbai
55000,750,2,2,Furnished,Mumbai
70000,1000,3,3,Semi-Furnished,Mumbai
30000,500,1,1,Furnished,Mumbai
330000,2000,4,5,Semi-Furnished,Mumbai
75000,550,1,2,Furnished,Mumbai
14000,270,1,1,Unfurnished,Mumbai
130000,960,3,3,Semi-Furnished,Mumbai
40000,1200,3,2,Semi-Furnished,Mumbai
46000,710,2,2,Unfurnished,Mumbai
27000,472,1,2,Semi-Furnished,Mumbai
95000,1000,2,2,Semi-Furnished,Mumbai
94000,800,2,2,Semi-Furnished,Mumbai
40000,650,2,2,Unfurnished,Mumbai
150000,1300,3,3,Semi-Furnished,Mumbai
30000,600,2,2,Unfurnished,Mumbai
95000,750,2,2,Furnished,Mumbai
130000,890,2,2,Semi-Furnished,Mumbai
14000,421,1,1,Unfurnished,Mumbai
100000,1300,3,3,Semi-Furnished,Mumbai
35000,350,1,1,Unfurnished,Mumbai
57000,800,2,2,Semi-Furnished,Mumbai
45000,650,2,2,Semi-Furnished,Mumbai
11000,650,1,2,Furnished,Mumbai
50000,650,2,2,Semi-Furnished,Mumbai
35000,680,2,2,Unfurnished,Mumbai
100000,800,2,2,Furnished,Mumbai
130000,1250,3,3,Semi-Furnished,Mumbai
52000,475,1,1,Unfurnished,Mumbai
28000,600,2,2,Unfurnished,Mumbai
18000,450,1,1,Unfurnished,Mumbai
30000,400,1,1,Unfurnished,Mumbai
45000,985,3,3,Unfurnished,Mumbai
130000,1450,3,3,Unfurnished,Mumbai
58000,650,2,2,Semi-Furnished,Mumbai
65000,805,2,3,Semi-Furnished,Mumbai
24000,650,1,1,Semi-Furnished,Mumbai
54500,515,1,1,Unfurnished,Mumbai
70000,1000,3,2,Semi-Furnished,Mumbai
67000,1050,3,3,Semi-Furnished,Mumbai
75000,777,2,2,Furnished,Mumbai
45000,831,2,2,Unfurnished,Mumbai
98000,1233,3,4,Semi-Furnished,Mumbai
16000,250,1,1,Unfurnished,Mumbai
95000,900,2,2,Semi-Furnished,Mumbai
40000,753,2,2,Unfurnished,Mumbai
300000,1800,3,3,Furnished,Mumbai
80000,670,2,2,Unfurnished,Mumbai
380000,2800,4,4,Semi-Furnished,Mumbai
160000,1197,3,3,Semi-Furnished,Mumbai
44000,880,2,2,Unfurnished,Mumbai
200000,1000,2,2,Furnished,Mumbai
65000,935,2,2,Semi-Furnished,Mumbai
50000,751,2,2,Semi-Furnished,Mumbai
6000,200,1,1,Unfurnished,Mumbai
280000,2500,4,6,Semi-Furnished,Mumbai
46000,500,1,1,Furnished,Mumbai
35000,430,1,1,Furnished,Mumbai
75000,1088,3,3,Semi-Furnished,Mumbai
20000,330,1,1,Semi-Furnished,Mumbai
25000,400,1,1,Unfurnished,Mumbai
110000,1200,3,3,Furnished,Mumbai
29500,700,2,2,Unfurnished,Mumbai
53000,1000,3,2,Semi-Furnished,Mumbai
85000,750,2,2,Semi-Furnished,Mumbai
26000,450,1,2,Unfurnished,Mumbai
33000,640,1,2,Furnished,Mumbai
180000,1190,3,3,Semi-Furnished,Mumbai
70000,850,3,3,Unfurnished,Mumbai
17000,330,1,1,Semi-Furnished,Mumbai
37000,685,2,2,Semi-Furnished,Mumbai
27000,400,1,2,Unfurnished,Mumbai
35500,500,1,2,Furnished,Mumbai
24000,550,1,1,Unfurnished,Mumbai
250000,2500,4,4,Unfurnished,Mumbai
180000,1100,3,3,Furnished,Mumbai
18500,650,2,2,Unfurnished,Mumbai
200000,1400,3,3,Furnished,Mumbai
70000,1050,2,2,Furnished,Mumbai
55000,850,3,3,Unfurnished,Mumbai
24000,550,1,1,Unfurnished,Mumbai
55000,750,2,2,Furnished,Mumbai
150000,1350,3,3,Semi-Furnished,Mumbai
50000,800,2,2,Semi-Furnished,Mumbai
300000,2650,4,3,Semi-Furnished,Mumbai
90100,975,3,2,Semi-Furnished,Mumbai
57000,1325,3,4,Furnished,Mumbai
40000,700,2,2,Semi-Furnished,Mumbai
80000,700,2,2,Furnished,Mumbai
95000,850,2,2,Semi-Furnished,Mumbai
14000,305,1,1,Unfurnished,Mumbai
50000,850,2,2,Unfurnished,Mumbai
43000,724,2,2,Unfurnished,Mumbai
55000,650,2,2,Furnished,Mumbai
35000,650,2,2,Unfurnished,Mumbai
33000,700,2,2,Unfurnished,Mumbai
47000,785,2,2,Furnished,Mumbai
75000,1250,3,3,Semi-Furnished,Mumbai
45000,1016,4,3,Unfurnished,Mumbai
36000,380,1,2,Unfurnished,Mumbai
40000,475,1,1,Unfurnished,Mumbai
40000,444,1,2,Unfurnished,Mumbai
32000,640,2,2,Unfurnished,Mumbai
17000,320,1,1,Unfurnished,Mumbai
77000,1100,3,4,Unfurnished,Mumbai
290000,1500,4,3,Furnished,Mumbai
35000,650,2,2,Semi-Furnished,Mumbai
40000,508,1,2,Semi-Furnished,Mumbai
250000,2500,4,4,Furnished,Mumbai
47000,720,2,2,Unfurnished,Mumbai
50000,750,2,2,Unfurnished,Mumbai
32000,430,1,1,Unfurnished,Mumbai
8000,623,2,2,Unfurnished,Mumbai
240000,1358,3,4,Semi-Furnished,Mumbai
85000,1000,3,3,Semi-Furnished,Mumbai
65000,1100,3,3,Unfurnished,Mumbai
75000,1255,3,3,Furnished,Mumbai
26500,450,1,2,Furnished,Mumbai
45000,650,2,2,Furnished,Mumbai
95000,955,2,2,Semi-Furnished,Mumbai
38000,700,2,2,Unfurnished,Mumbai
260000,1915,3,4,Semi-Furnished,Mumbai
300000,2308,4,6,Semi-Furnished,Mumbai
180000,1250,3,3,Semi-Furnished,Mumbai
40000,625,2,2,Semi-Furnished,Mumbai
300000,2200,4,4,Furnished,Mumbai
85000,870,2,2,Furnished,Mumbai
110000,1300,3,3,Semi-Furnished,Mumbai
40000,750,2,2,Unfurnished,Mumbai
45000,750,2,2,Furnished,Mumbai
52000,550,2,2,Furnished,Mumbai
90000,1250,4,4,Furnished,Mumbai
140000,1400,3,3,Semi-Furnished,Mumbai
150000,1330,3,4,Semi-Furnished,Mumbai
65000,1000,3,3,Semi-Furnished,Mumbai
50000,770,2,2,Unfurnished,Mumbai
54000,800,2,2,Unfurnished,Mumbai
180000,1691,4,6,Semi-Furnished,Mumbai
60000,550,1,2,Furnished,Mumbai
65000,800,2,2,Unfurnished,Mumbai
35000,615,2,2,Unfurnished,Mumbai
43000,663,2,2,Unfurnished,Mumbai
20000,400,1,1,Semi-Furnished,Mumbai
57000,625,2,2,Furnished,Mumbai
130000,1432,4,3,Unfurnished,Mumbai
25000,425,1,1,Unfurnished,Mumbai
56000,649,2,2,Semi-Furnished,Mumbai
55000,905,2,2,Unfurnished,Mumbai
18000,882,2,2,Unfurnished,Mumbai
100000,1200,3,3,Furnished,Mumbai
76000,736,2,2,Unfurnished,Mumbai
270000,1710,3,3,Furnished,Mumbai
45000,225,1,1,Unfurnished,Mumbai
39000,720,2,2,Unfurnished,Mumbai
12500,555,1,1,Unfurnished,Mumbai
35000,415,1,1,Unfurnished,Mumbai
55000,649,2,2,Semi-Furnished,Mumbai
90000,1000,3,2,Furnished,Mumbai
250000,1300,2,2,Furnished,Mumbai
25000,1065,2,2,Furnished,Mumbai
90000,854,2,2,Semi-Furnished,Mumbai
120000,1200,3,3,Furnished,Mumbai
55000,500,1,1,Unfurnished,Mumbai
70000,906,3,3,Semi-Furnished,Mumbai
300000,1800,3,4,Furnished,Mumbai
25000,500,2,1,Furnished,Mumbai
35000,450,1,1,Unfurnished,Mumbai
120000,1130,3,3,Semi-Furnished,Mumbai
27000,495,1,2,Furnished,Mumbai
25000,407,1,2,Unfurnished,Mumbai
150000,1092,3,3,Semi-Furnished,Mumbai
32000,610,2,2,Unfurnished,Mumbai
40000,500,1,2,Furnished,Mumbai
52000,750,2,2,Unfurnished,Mumbai
80000,750,2,2,Furnished,Mumbai
55000,850,2,2,Furnished,Mumbai
30000,350,1,1,Unfurnished,Mumbai
20000,300,1,1,Semi-Furnished,Mumbai
85000,695,1,2,Furnished,Mumbai
40000,415,1,2,Semi-Furnished,Mumbai
21000,450,1,2,Unfurnished,Mumbai
43000,850,3,3,Unfurnished,Mumbai
58000,805,2,3,Semi-Furnished,Mumbai
130000,700,2,2,Furnished,Mumbai
260000,1800,3,4,Furnished,Mumbai
46000,669,2,2,Unfurnished,Mumbai
6500,325,1,1,Unfurnished,Mumbai
21000,600,1,1,Furnished,Mumbai
46000,725,2,2,Unfurnished,Mumbai
60000,750,2,2,Semi-Furnished,Mumbai
65000,1050,3,3,Semi-Furnished,Mumbai
15000,600,2,2,Unfurnished,Mumbai
130000,1000,2,2,Semi-Furnished,Mumbai
90000,1110,3,3,Furnished,Mumbai
62000,650,2,2,Unfurnished,Mumbai
160000,1100,3,3,Semi-Furnished,Mumbai
